age,salaire,score_credit,montant_transaction,anciennete_compte,type_carte,region,genre,fraude
49.54889404138071,183659.04578435957,48.2285786546242,9649455.81898502,14.0,0,0,0,0.0
44.95266535510408,329732.599158123,67.57309700360759,25000.0,9.672396359959555,0,0,0,0.0
41.65991038281746,75000.0,77.55948667850828,2724004.395371683,9.0,1,0,1,0.0
42.377280190465775,75000.0,54.28221964572267,4755632.036666362,9.0,0,1,0,0.0
48.125023071955766,359999.48294154095,71.14854574228272,25000.0,8.0,0,1,0,0.0
34.90494088848834,397644.8518169162,49.93038302853597,7176256.481473299,11.0,1,2,0,0.0
39.231994706129136,428573.7582634933,53.6356246517432,9812880.323186843,10.0,1,1,0,1.0
47.84919772456283,245523.6661900776,19.711718752037587,4595029.316068816,7.0,1,0,1,0.0
36.53889986933177,380458.3828271364,23.3510043800359,25000.0,6.0,0,0,1,0.0
45.67679583506853,215836.6303528504,81.57167287171123,1514746.0994707665,9.0,0,0,1,0.0
44.18659026182871,230620.0550529932,41.75159860300186,5899384.622489492,12.0,1,2,1,0.0
26.78205858117208,292086.73379988514,81.57167287171123,8850063.731864616,1.0,1,0,1,0.0
29.07041329864866,458193.09427309775,45.8567662181192,25000.0,11.0,0,1,0,0.0
31.55110744650331,524056.4638508301,42.19181627156733,3990365.236372667,3.0,1,2,0,0.0
37.587789633845226,134332.22582175056,75.4206019886228,1866000.4081062705,9.0,1,1,1,0.0
52.342454190157454,326351.0568737669,49.56896674849482,1497497.528357857,6.0,1,1,0,0.0
38.62803519689409,209866.9236219281,74.45615844266817,7608717.555960263,16.0,1,0,0,0.0
42.65897866579188,269787.01498845394,68.98592996750631,1322323.2096801624,14.0,1,1,1,0.0
53.077195440108575,389863.4638895714,38.05442128307504,6391169.172671343,18.0,1,0,0,0.0
38.84106595883125,472423.1046015553,56.72150825010693,3367176.7012263853,10.0,1,2,0,0.0
40.15996388965135,174619.46165725414,41.46800727427926,9812880.323186843,11.0,1,0,0,0.0
43.378598379599,320973.2037777316,36.04916115049771,8776658.617228465,7.0,0,2,1,0.0
38.82815463417471,343822.3263178198,41.55008209135132,4941408.8315986935,9.0,1,1,0,0.0
53.077195440108575,75000.0,41.774791390330336,1345471.7995780432,5.0,1,0,0,0.0
43.3880629921763,297279.86347378773,60.4243158237745,8379180.349166197,18.0,1,2,0,0.0
43.48169222631682,214597.28646282936,48.99838802287066,3930718.638424764,10.0,0,1,0,0.0
29.637931034663037,342568.204175712,17.37864749610042,9515587.99663712,4.0,1,1,0,0.0
39.76518638307444,175755.93594774016,66.52906221717525,7020286.4382610805,10.0,1,2,1,0.0
48.46368571071034,306894.1404073401,51.65729683737992,4965176.6218066085,10.0,1,0,0,0.0
50.19747079743589,375285.0350551008,78.68002007460922,7528322.090297081,13.0,0,1,1,0.0
37.703123961101255,203726.7894083488,43.4335811461888,2416135.692842297,10.0,1,0,0,0.0
36.29714971428496,375163.50139631575,60.20504444810037,9812880.323186843,2.0,1,0,1,0.0
39.24877145029562,527204.3518742716,49.56896674849482,4077267.8313087686,13.0,0,0,0,0.0
37.58184486333979,440198.2061004936,49.56896674849482,7143649.2843905175,6.0,1,2,0,0.0
36.51278824727654,349655.835422582,51.99976327531104,25000.0,13.0,1,0,0,0.0
28.14082570403385,472852.2958442889,31.93413778441781,1751478.41339497,9.672396359959555,0,0,0,0.0
41.85384753624314,177091.9754251814,25.73073279694154,8888770.129244005,2.0,0,2,1,0.0
50.27283756143118,346357.0252536052,81.57167287171123,5170119.946517796,9.0,0,1,0,0.0
45.034885067431134,292273.6209369108,38.49627100712967,7669570.855356484,10.0,0,2,0,0.0
49.2579563818482,75000.0,50.87420793983968,8220099.747334917,4.0,1,0,0,0.0
45.004676749400005,152857.99094799458,65.82280008711767,3895825.153568958,8.0,0,0,0,0.0
53.077195440108575,446888.9616430444,12.159328550286602,3109303.7790606827,8.0,0,0,1,0.0
29.21832615752477,340327.6179601488,52.70982744633524,8184527.471527533,9.0,1,1,0,0.0
